,job_id,start_time,carbon_footprint,executors,duration
0,1,2024-12-28 07:26:02.494032,410.1129999999997,"[('26:23', 'task-simulation-8c12b3940c289bde-exec-1'), ('26:25', 'task-simulation-8c12b3940c289bde-exec-1'), ('26:25', 'task-simulation-8c12b3940c289bde-exec-2'), ('26:25', 'task-simulation-8c12b3940c289bde-exec-3'), ('26:25', 'task-simulation-8c12b3940c289bde-exec-7'), ('26:27', 'task-simulation-8c12b3940c289bde-exec-1'), ('26:27', 'task-simulation-8c12b3940c289bde-exec-2'), ('26:27', 'task-simulation-8c12b3940c289bde-exec-3'), ('26:27', 'task-simulation-8c12b3940c289bde-exec-4'), ('26:28', 'task-simulation-8c12b3940c289bde-exec-5'), ('26:28', 'task-simulation-8c12b3940c289bde-exec-6'), ('26:28', 'task-simulation-8c12b3940c289bde-exec-7'), ('26:29', 'task-simulation-8c12b3940c289bde-exec-1'), ('26:30', 'task-simulation-8c12b3940c289bde-exec-2'), ('26:30', 'task-simulation-8c12b3940c289bde-exec-3'), ('26:30', 'task-simulation-8c12b3940c289bde-exec-4'), ('26:30', 'task-simulation-8c12b3940c289bde-exec-5'), ('26:31', 'task-simulation-8c12b3940c289bde-exec-6'), ('26:31', 'task-simulation-8c12b3940c289bde-exec-7'), ('26:32', 'task-simulation-8c12b3940c289bde-exec-1'), ('26:32', 'task-simulation-8c12b3940c289bde-exec-2'), ('26:33', 'task-simulation-8c12b3940c289bde-exec-3'), ('26:33', 'task-simulation-8c12b3940c289bde-exec-4'), ('26:33', 'task-simulation-8c12b3940c289bde-exec-5'), ('26:33', 'task-simulation-8c12b3940c289bde-exec-6'), ('26:34', 'task-simulation-8c12b3940c289bde-exec-7'), ('26:35', 'task-simulation-8c12b3940c289bde-exec-1'), ('26:35', 'task-simulation-8c12b3940c289bde-exec-2'), ('26:36', 'task-simulation-8c12b3940c289bde-exec-3'), ('26:36', 'task-simulation-8c12b3940c289bde-exec-4'), ('26:36', 'task-simulation-8c12b3940c289bde-exec-5'), ('26:37', 'task-simulation-8c12b3940c289bde-exec-6'), ('26:37', 'task-simulation-8c12b3940c289bde-exec-7')]",0 days 00:00:31.929769
1,2,2024-12-28 07:26:29.509061,49.71066666666666,"[('26:50', 'task-simulation-65b790940c290843-exec-1'), ('26:51', 'task-simulation-65b790940c290843-exec-1'), ('26:52', 'task-simulation-65b790940c290843-exec-1'), ('26:54', 'task-simulation-65b790940c290843-exec-1')]",0 days 00:00:55.529780
2,3,2024-12-28 07:26:48.398636,49.46266666666667,"[('27:07', 'task-simulation-12d241940c294ddf-exec-1'), ('27:09', 'task-simulation-12d241940c294ddf-exec-1'), ('27:10', 'task-simulation-12d241940c294ddf-exec-1'), ('27:11', 'task-simulation-12d241940c294ddf-exec-1')]",0 days 00:00:28.188264
3,4,2024-12-28 07:27:46.678357,61.61833333333333,"[('28:05', 'task-simulation-3626f4940c2a309e-exec-1'), ('28:06', 'task-simulation-3626f4940c2a309e-exec-1'), ('28:07', 'task-simulation-3626f4940c2a309e-exec-1'), ('28:09', 'task-simulation-3626f4940c2a309e-exec-1'), ('28:10', 'task-simulation-3626f4940c2a309e-exec-1')]",0 days 00:00:35.293499
4,5,2024-12-28 07:28:50.906627,1007.4519999999976,"[('29:10', 'task-simulation-25ed4f940c2b2891-exec-1'), ('29:11', 'task-simulation-25ed4f940c2b2891-exec-1'), ('29:11', 'task-simulation-25ed4f940c2b2891-exec-2'), ('29:12', 'task-simulation-25ed4f940c2b2891-exec-3'), ('29:12', 'task-simulation-25ed4f940c2b2891-exec-5'), ('29:13', 'task-simulation-25ed4f940c2b2891-exec-1'), ('29:14', 'task-simulation-25ed4f940c2b2891-exec-2'), ('29:14', 'task-simulation-25ed4f940c2b2891-exec-3'), ('29:14', 'task-simulation-25ed4f940c2b2891-exec-4'), ('29:14', 'task-simulation-25ed4f940c2b2891-exec-5'), ('29:15', 'task-simulation-25ed4f940c2b2891-exec-6'), ('29:15', 'task-simulation-25ed4f940c2b2891-exec-7'), ('29:15', 'task-simulation-25ed4f940c2b2891-exec-8'), ('29:16', 'task-simulation-25ed4f940c2b2891-exec-1'), ('29:17', 'task-simulation-25ed4f940c2b2891-exec-2'), ('29:17', 'task-simulation-25ed4f940c2b2891-exec-3'), ('29:17', 'task-simulation-25ed4f940c2b2891-exec-4'), ('29:17', 'task-simulation-25ed4f940c2b2891-exec-5'), ('29:18', 'task-simulation-25ed4f940c2b2891-exec-6'), ('29:18', 'task-simulation-25ed4f940c2b2891-exec-7'), ('29:18', 'task-simulation-25ed4f940c2b2891-exec-8'), ('29:20', 'task-simulation-25ed4f940c2b2891-exec-1'), ('29:20', 'task-simulation-25ed4f940c2b2891-exec-2'), ('29:20', 'task-simulation-25ed4f940c2b2891-exec-3'), ('29:20', 'task-simulation-25ed4f940c2b2891-exec-4'), ('29:21', 'task-simulation-25ed4f940c2b2891-exec-5'), ('29:21', 'task-simulation-25ed4f940c2b2891-exec-6'), ('29:21', 'task-simulation-25ed4f940c2b2891-exec-7'), ('29:21', 'task-simulation-25ed4f940c2b2891-exec-8'), ('29:23', 'task-simulation-25ed4f940c2b2891-exec-1'), ('29:23', 'task-simulation-25ed4f940c2b2891-exec-2'), ('29:23', 'task-simulation-25ed4f940c2b2891-exec-3'), ('29:23', 'task-simulation-25ed4f940c2b2891-exec-4'), ('29:24', 'task-simulation-25ed4f940c2b2891-exec-5'), ('29:24', 'task-simulation-25ed4f940c2b2891-exec-6'), ('29:24', 'task-simulation-25ed4f940c2b2891-exec-7'), ('29:24', 'task-simulation-25ed4f940c2b2891-exec-8'), ('29:26', 'task-simulation-25ed4f940c2b2891-exec-1'), ('29:26', 'task-simulation-25ed4f940c2b2891-exec-2'), ('29:26', 'task-simulation-25ed4f940c2b2891-exec-3'), ('29:27', 'task-simulation-25ed4f940c2b2891-exec-4'), ('29:27', 'task-simulation-25ed4f940c2b2891-exec-5'), ('29:27', 'task-simulation-25ed4f940c2b2891-exec-6'), ('29:27', 'task-simulation-25ed4f940c2b2891-exec-7'), ('29:28', 'task-simulation-25ed4f940c2b2891-exec-8'), ('29:29', 'task-simulation-25ed4f940c2b2891-exec-1'), ('29:29', 'task-simulation-25ed4f940c2b2891-exec-2'), ('29:29', 'task-simulation-25ed4f940c2b2891-exec-3'), ('29:30', 'task-simulation-25ed4f940c2b2891-exec-4'), ('29:30', 'task-simulation-25ed4f940c2b2891-exec-5'), ('29:30', 'task-simulation-25ed4f940c2b2891-exec-6'), ('29:30', 'task-simulation-25ed4f940c2b2891-exec-7'), ('29:31', 'task-simulation-25ed4f940c2b2891-exec-8'), ('29:32', 'task-simulation-25ed4f940c2b2891-exec-1'), ('29:32', 'task-simulation-25ed4f940c2b2891-exec-2'), ('29:33', 'task-simulation-25ed4f940c2b2891-exec-3'), ('29:33', 'task-simulation-25ed4f940c2b2891-exec-4'), ('29:33', 'task-simulation-25ed4f940c2b2891-exec-5'), ('29:33', 'task-simulation-25ed4f940c2b2891-exec-6'), ('29:34', 'task-simulation-25ed4f940c2b2891-exec-7'), ('29:34', 'task-simulation-25ed4f940c2b2891-exec-8'), ('29:35', 'task-simulation-25ed4f940c2b2891-exec-1'), ('29:35', 'task-simulation-25ed4f940c2b2891-exec-2'), ('29:36', 'task-simulation-25ed4f940c2b2891-exec-3'), ('29:36', 'task-simulation-25ed4f940c2b2891-exec-4'), ('29:36', 'task-simulation-25ed4f940c2b2891-exec-5'), ('29:36', 'task-simulation-25ed4f940c2b2891-exec-6'), ('29:36', 'task-simulation-25ed4f940c2b2891-exec-7'), ('29:37', 'task-simulation-25ed4f940c2b2891-exec-8'), ('29:38', 'task-simulation-25ed4f940c2b2891-exec-1'), ('29:38', 'task-simulation-25ed4f940c2b2891-exec-2'), ('29:38', 'task-simulation-25ed4f940c2b2891-exec-3'), ('29:39', 'task-simulation-25ed4f940c2b2891-exec-4'), ('29:39', 'task-simulation-25ed4f940c2b2891-exec-5'), ('29:39', 'task-simulation-25ed4f940c2b2891-exec-6'), ('29:39', 'task-simulation-25ed4f940c2b2891-exec-7'), ('29:39', 'task-simulation-25ed4f940c2b2891-exec-8'), ('29:41', 'task-simulation-25ed4f940c2b2891-exec-1'), ('29:41', 'task-simulation-25ed4f940c2b2891-exec-2'), ('29:42', 'task-simulation-25ed4f940c2b2891-exec-3'), ('29:42', 'task-simulation-25ed4f940c2b2891-exec-4'), ('29:42', 'task-simulation-25ed4f940c2b2891-exec-5')]",0 days 00:00:29.757635
5,6,2024-12-28 07:28:54.422869,12.286,"[('29:18', 'task-simulation-751f0a940c2b39cd-exec-1')]",0 days 00:00:27.820085
6,7,2024-12-28 07:28:59.180057,12.286,"[('29:21', 'task-simulation-37f894940c2b4c34-exec-1')]",0 days 00:00:38.548314
7,9,2024-12-28 07:29:25.907496,49.144,"[('29:44', 'task-simulation-3acaa4940c2bb40a-exec-1'), ('29:46', 'task-simulation-3acaa4940c2bb40a-exec-1'), ('29:47', 'task-simulation-3acaa4940c2bb40a-exec-1'), ('29:49', 'task-simulation-3acaa4940c2bb40a-exec-1')]",0 days 00:00:28.215661
8,10,2024-12-28 07:29:40.894444,220.545,"[('29:59', 'task-simulation-1c8f90940c2bf016-exec-1'), ('30:01', 'task-simulation-1c8f90940c2bf016-exec-1'), ('30:02', 'task-simulation-1c8f90940c2bf016-exec-1'), ('30:02', 'task-simulation-1c8f90940c2bf016-exec-2'), ('30:03', 'task-simulation-1c8f90940c2bf016-exec-3'), ('30:03', 'task-simulation-1c8f90940c2bf016-exec-4'), ('30:04', 'task-simulation-1c8f90940c2bf016-exec-1'), ('30:04', 'task-simulation-1c8f90940c2bf016-exec-2'), ('30:05', 'task-simulation-1c8f90940c2bf016-exec-3'), ('30:05', 'task-simulation-1c8f90940c2bf016-exec-4'), ('30:06', 'task-simulation-1c8f90940c2bf016-exec-1'), ('30:06', 'task-simulation-1c8f90940c2bf016-exec-2'), ('30:07', 'task-simulation-1c8f90940c2bf016-exec-3'), ('30:07', 'task-simulation-1c8f90940c2bf016-exec-4'), ('30:08', 'task-simulation-1c8f90940c2bf016-exec-1'), ('30:08', 'task-simulation-1c8f90940c2bf016-exec-2'), ('30:09', 'task-simulation-1c8f90940c2bf016-exec-3'), ('30:09', 'task-simulation-1c8f90940c2bf016-exec-4')]",0 days 00:00:39.007531
9,13,2024-12-28 07:30:24.315326,49.01,"[('30:43', 'task-simulation-12193f940c2c9812-exec-1'), ('30:44', 'task-simulation-12193f940c2c9812-exec-1'), ('30:46', 'task-simulation-12193f940c2c9812-exec-1'), ('30:47', 'task-simulation-12193f940c2c9812-exec-1')]",0 days 00:00:31.927237
