,job_id,start_time,carbon_footprint,executors,duration
0,0,2024-12-28 00:00:59.768246,124.27666666666666,"[('01:20', 'task-simulation-12d3b9940a912862-exec-1'), ('01:22', 'task-simulation-12d3b9940a912862-exec-1'), ('01:22', 'task-simulation-12d3b9940a912862-exec-2'), ('01:22', 'task-simulation-12d3b9940a912862-exec-3'), ('01:22', 'task-simulation-12d3b9940a912862-exec-4'), ('01:23', 'task-simulation-12d3b9940a912862-exec-5'), ('01:23', 'task-simulation-12d3b9940a912862-exec-7'), ('01:24', 'task-simulation-12d3b9940a912862-exec-1'), ('01:24', 'task-simulation-12d3b9940a912862-exec-2'), ('01:25', 'task-simulation-12d3b9940a912862-exec-3'), ('01:25', 'task-simulation-12d3b9940a912862-exec-4'), ('01:25', 'task-simulation-12d3b9940a912862-exec-5'), ('01:25', 'task-simulation-12d3b9940a912862-exec-6'), ('01:26', 'task-simulation-12d3b9940a912862-exec-7'), ('01:26', 'task-simulation-12d3b9940a912862-exec-8'), ('01:27', 'task-simulation-12d3b9940a912862-exec-1'), ('01:27', 'task-simulation-12d3b9940a912862-exec-2'), ('01:28', 'task-simulation-12d3b9940a912862-exec-3'), ('01:28', 'task-simulation-12d3b9940a912862-exec-4'), ('01:28', 'task-simulation-12d3b9940a912862-exec-5'), ('01:28', 'task-simulation-12d3b9940a912862-exec-6'), ('01:29', 'task-simulation-12d3b9940a912862-exec-7'), ('01:29', 'task-simulation-12d3b9940a912862-exec-8'), ('01:30', 'task-simulation-12d3b9940a912862-exec-1'), ('01:30', 'task-simulation-12d3b9940a912862-exec-2'), ('01:31', 'task-simulation-12d3b9940a912862-exec-3'), ('01:31', 'task-simulation-12d3b9940a912862-exec-4'), ('01:31', 'task-simulation-12d3b9940a912862-exec-5'), ('01:31', 'task-simulation-12d3b9940a912862-exec-7')]",0 days 00:00:31.016788
1,2,2024-12-28 00:02:41.614800,1126.8256666666666,"[('02:59', 'task-simulation-925257940a92b04f-exec-1'), ('03:00', 'task-simulation-925257940a92b04f-exec-1'), ('03:02', 'task-simulation-925257940a92b04f-exec-1'), ('03:03', 'task-simulation-925257940a92b04f-exec-1')]",0 days 00:01:10.199807
2,4,2024-12-28 00:03:01.992996,86.55966666666667,"[('03:20', 'task-simulation-4ce6ef940a93014a-exec-1'), ('03:21', 'task-simulation-4ce6ef940a93014a-exec-1'), ('03:23', 'task-simulation-4ce6ef940a93014a-exec-1'), ('03:24', 'task-simulation-4ce6ef940a93014a-exec-1')]",0 days 00:00:33.542849
3,5,2024-12-28 00:03:16.392644,24.731333333333335,"[('03:36', 'task-simulation-0bde46940a933adf-exec-1'), ('03:37', 'task-simulation-0bde46940a933adf-exec-1'), ('03:38', 'task-simulation-0bde46940a933adf-exec-2'), ('03:38', 'task-simulation-0bde46940a933adf-exec-3'), ('03:38', 'task-simulation-0bde46940a933adf-exec-4'), ('03:38', 'task-simulation-0bde46940a933adf-exec-7'), ('03:40', 'task-simulation-0bde46940a933adf-exec-1'), ('03:40', 'task-simulation-0bde46940a933adf-exec-2'), ('03:40', 'task-simulation-0bde46940a933adf-exec-3'), ('03:40', 'task-simulation-0bde46940a933adf-exec-4'), ('03:41', 'task-simulation-0bde46940a933adf-exec-5'), ('03:41', 'task-simulation-0bde46940a933adf-exec-6'), ('03:41', 'task-simulation-0bde46940a933adf-exec-7'), ('03:41', 'task-simulation-0bde46940a933adf-exec-8'), ('03:43', 'task-simulation-0bde46940a933adf-exec-1'), ('03:43', 'task-simulation-0bde46940a933adf-exec-2'), ('03:43', 'task-simulation-0bde46940a933adf-exec-3'), ('03:43', 'task-simulation-0bde46940a933adf-exec-4'), ('03:44', 'task-simulation-0bde46940a933adf-exec-5'), ('03:44', 'task-simulation-0bde46940a933adf-exec-6'), ('03:44', 'task-simulation-0bde46940a933adf-exec-7'), ('03:44', 'task-simulation-0bde46940a933adf-exec-8'), ('03:46', 'task-simulation-0bde46940a933adf-exec-1'), ('03:46', 'task-simulation-0bde46940a933adf-exec-2'), ('03:46', 'task-simulation-0bde46940a933adf-exec-3'), ('03:46', 'task-simulation-0bde46940a933adf-exec-4'), ('03:47', 'task-simulation-0bde46940a933adf-exec-5'), ('03:47', 'task-simulation-0bde46940a933adf-exec-6'), ('03:47', 'task-simulation-0bde46940a933adf-exec-7'), ('03:47', 'task-simulation-0bde46940a933adf-exec-8'), ('03:49', 'task-simulation-0bde46940a933adf-exec-1'), ('03:49', 'task-simulation-0bde46940a933adf-exec-2'), ('03:49', 'task-simulation-0bde46940a933adf-exec-3'), ('03:49', 'task-simulation-0bde46940a933adf-exec-4'), ('03:49', 'task-simulation-0bde46940a933adf-exec-5'), ('03:50', 'task-simulation-0bde46940a933adf-exec-6'), ('03:50', 'task-simulation-0bde46940a933adf-exec-7'), ('03:50', 'task-simulation-0bde46940a933adf-exec-8'), ('03:51', 'task-simulation-0bde46940a933adf-exec-1'), ('03:52', 'task-simulation-0bde46940a933adf-exec-2'), ('03:52', 'task-simulation-0bde46940a933adf-exec-3'), ('03:52', 'task-simulation-0bde46940a933adf-exec-4'), ('03:52', 'task-simulation-0bde46940a933adf-exec-5'), ('03:53', 'task-simulation-0bde46940a933adf-exec-6'), ('03:53', 'task-simulation-0bde46940a933adf-exec-7'), ('03:53', 'task-simulation-0bde46940a933adf-exec-8'), ('03:54', 'task-simulation-0bde46940a933adf-exec-1'), ('03:55', 'task-simulation-0bde46940a933adf-exec-2'), ('03:55', 'task-simulation-0bde46940a933adf-exec-3'), ('03:55', 'task-simulation-0bde46940a933adf-exec-4'), ('03:55', 'task-simulation-0bde46940a933adf-exec-5'), ('03:55', 'task-simulation-0bde46940a933adf-exec-6'), ('03:56', 'task-simulation-0bde46940a933adf-exec-7'), ('03:56', 'task-simulation-0bde46940a933adf-exec-8'), ('03:57', 'task-simulation-0bde46940a933adf-exec-1'), ('03:57', 'task-simulation-0bde46940a933adf-exec-2'), ('03:58', 'task-simulation-0bde46940a933adf-exec-3'), ('03:58', 'task-simulation-0bde46940a933adf-exec-4'), ('03:58', 'task-simulation-0bde46940a933adf-exec-5'), ('03:58', 'task-simulation-0bde46940a933adf-exec-6'), ('03:58', 'task-simulation-0bde46940a933adf-exec-7'), ('03:59', 'task-simulation-0bde46940a933adf-exec-8')]",0 days 00:00:27.238103
4,7,2024-12-28 00:04:00.171575,61.82833333333334,"[('04:19', 'task-simulation-dc3a5b940a93e3f7-exec-1'), ('04:21', 'task-simulation-dc3a5b940a93e3f7-exec-1'), ('04:21', 'task-simulation-dc3a5b940a93e3f7-exec-2'), ('04:21', 'task-simulation-dc3a5b940a93e3f7-exec-3'), ('04:21', 'task-simulation-dc3a5b940a93e3f7-exec-4'), ('04:22', 'task-simulation-dc3a5b940a93e3f7-exec-6'), ('04:23', 'task-simulation-dc3a5b940a93e3f7-exec-1'), ('04:23', 'task-simulation-dc3a5b940a93e3f7-exec-2'), ('04:23', 'task-simulation-dc3a5b940a93e3f7-exec-3'), ('04:24', 'task-simulation-dc3a5b940a93e3f7-exec-4'), ('04:24', 'task-simulation-dc3a5b940a93e3f7-exec-5'), ('04:24', 'task-simulation-dc3a5b940a93e3f7-exec-6'), ('04:26', 'task-simulation-dc3a5b940a93e3f7-exec-1'), ('04:26', 'task-simulation-dc3a5b940a93e3f7-exec-2'), ('04:26', 'task-simulation-dc3a5b940a93e3f7-exec-3'), ('04:26', 'task-simulation-dc3a5b940a93e3f7-exec-4'), ('04:27', 'task-simulation-dc3a5b940a93e3f7-exec-5'), ('04:27', 'task-simulation-dc3a5b940a93e3f7-exec-6')]",0 days 00:00:29.352252
5,8,2024-12-28 00:04:09.569967,36.971,"[('04:28', 'task-simulation-07f748940a940a4f-exec-1'), ('04:30', 'task-simulation-07f748940a940a4f-exec-1'), ('04:30', 'task-simulation-07f748940a940a4f-exec-2'), ('04:30', 'task-simulation-07f748940a940a4f-exec-3'), ('04:31', 'task-simulation-07f748940a940a4f-exec-1'), ('04:32', 'task-simulation-07f748940a940a4f-exec-2'), ('04:32', 'task-simulation-07f748940a940a4f-exec-3'), ('04:32', 'task-simulation-07f748940a940a4f-exec-4'), ('04:32', 'task-simulation-07f748940a940a4f-exec-5'), ('04:33', 'task-simulation-07f748940a940a4f-exec-6'), ('04:33', 'task-simulation-07f748940a940a4f-exec-7'), ('04:34', 'task-simulation-07f748940a940a4f-exec-1'), ('04:35', 'task-simulation-07f748940a940a4f-exec-2'), ('04:35', 'task-simulation-07f748940a940a4f-exec-3'), ('04:35', 'task-simulation-07f748940a940a4f-exec-4'), ('04:35', 'task-simulation-07f748940a940a4f-exec-5'), ('04:36', 'task-simulation-07f748940a940a4f-exec-6'), ('04:36', 'task-simulation-07f748940a940a4f-exec-7'), ('04:36', 'task-simulation-07f748940a940a4f-exec-8'), ('04:38', 'task-simulation-07f748940a940a4f-exec-1'), ('04:38', 'task-simulation-07f748940a940a4f-exec-2'), ('04:38', 'task-simulation-07f748940a940a4f-exec-3'), ('04:38', 'task-simulation-07f748940a940a4f-exec-4'), ('04:39', 'task-simulation-07f748940a940a4f-exec-5'), ('04:39', 'task-simulation-07f748940a940a4f-exec-6'), ('04:39', 'task-simulation-07f748940a940a4f-exec-7'), ('04:39', 'task-simulation-07f748940a940a4f-exec-8'), ('04:42', 'task-simulation-07f748940a940a4f-exec-1'), ('04:43', 'task-simulation-07f748940a940a4f-exec-2'), ('04:43', 'task-simulation-07f748940a940a4f-exec-3'), ('04:43', 'task-simulation-07f748940a940a4f-exec-4'), ('04:43', 'task-simulation-07f748940a940a4f-exec-5'), ('04:44', 'task-simulation-07f748940a940a4f-exec-6'), ('04:44', 'task-simulation-07f748940a940a4f-exec-7'), ('04:44', 'task-simulation-07f748940a940a4f-exec-8'), ('04:47', 'task-simulation-07f748940a940a4f-exec-1'), ('04:47', 'task-simulation-07f748940a940a4f-exec-2'), ('04:47', 'task-simulation-07f748940a940a4f-exec-3'), ('04:48', 'task-simulation-07f748940a940a4f-exec-4'), ('04:48', 'task-simulation-07f748940a940a4f-exec-5'), ('04:48', 'task-simulation-07f748940a940a4f-exec-6'), ('04:48', 'task-simulation-07f748940a940a4f-exec-7'), ('04:49', 'task-simulation-07f748940a940a4f-exec-8'), ('04:52', 'task-simulation-07f748940a940a4f-exec-1'), ('04:52', 'task-simulation-07f748940a940a4f-exec-2'), ('04:52', 'task-simulation-07f748940a940a4f-exec-3'), ('04:52', 'task-simulation-07f748940a940a4f-exec-4'), ('04:53', 'task-simulation-07f748940a940a4f-exec-5'), ('04:53', 'task-simulation-07f748940a940a4f-exec-6'), ('04:53', 'task-simulation-07f748940a940a4f-exec-7'), ('04:53', 'task-simulation-07f748940a940a4f-exec-8'), ('04:57', 'task-simulation-07f748940a940a4f-exec-1'), ('04:57', 'task-simulation-07f748940a940a4f-exec-2'), ('04:57', 'task-simulation-07f748940a940a4f-exec-3'), ('04:57', 'task-simulation-07f748940a940a4f-exec-4'), ('04:57', 'task-simulation-07f748940a940a4f-exec-5'), ('04:58', 'task-simulation-07f748940a940a4f-exec-6'), ('04:58', 'task-simulation-07f748940a940a4f-exec-7'), ('04:58', 'task-simulation-07f748940a940a4f-exec-8')]",0 days 00:00:26.594263
6,9,2024-12-28 00:04:15.351148,2139.7980000000034,"[('04:36', 'task-simulation-2bde6e940a9422bf-exec-1'), ('04:40', 'task-simulation-2bde6e940a9422bf-exec-1'), ('04:40', 'task-simulation-2bde6e940a9422bf-exec-2'), ('04:40', 'task-simulation-2bde6e940a9422bf-exec-3'), ('04:40', 'task-simulation-2bde6e940a9422bf-exec-4'), ('04:40', 'task-simulation-2bde6e940a9422bf-exec-5'), ('04:41', 'task-simulation-2bde6e940a9422bf-exec-6'), ('04:41', 'task-simulation-2bde6e940a9422bf-exec-7'), ('04:41', 'task-simulation-2bde6e940a9422bf-exec-8'), ('04:44', 'task-simulation-2bde6e940a9422bf-exec-1'), ('04:44', 'task-simulation-2bde6e940a9422bf-exec-2'), ('04:45', 'task-simulation-2bde6e940a9422bf-exec-3'), ('04:45', 'task-simulation-2bde6e940a9422bf-exec-4'), ('04:45', 'task-simulation-2bde6e940a9422bf-exec-5'), ('04:45', 'task-simulation-2bde6e940a9422bf-exec-6'), ('04:46', 'task-simulation-2bde6e940a9422bf-exec-7'), ('04:46', 'task-simulation-2bde6e940a9422bf-exec-8'), ('04:49', 'task-simulation-2bde6e940a9422bf-exec-1'), ('04:49', 'task-simulation-2bde6e940a9422bf-exec-2'), ('04:49', 'task-simulation-2bde6e940a9422bf-exec-3'), ('04:50', 'task-simulation-2bde6e940a9422bf-exec-4'), ('04:50', 'task-simulation-2bde6e940a9422bf-exec-5'), ('04:50', 'task-simulation-2bde6e940a9422bf-exec-6'), ('04:50', 'task-simulation-2bde6e940a9422bf-exec-7'), ('04:50', 'task-simulation-2bde6e940a9422bf-exec-8'), ('04:54', 'task-simulation-2bde6e940a9422bf-exec-1'), ('04:54', 'task-simulation-2bde6e940a9422bf-exec-2'), ('04:54', 'task-simulation-2bde6e940a9422bf-exec-3'), ('04:54', 'task-simulation-2bde6e940a9422bf-exec-4'), ('04:55', 'task-simulation-2bde6e940a9422bf-exec-5'), ('04:55', 'task-simulation-2bde6e940a9422bf-exec-6'), ('04:55', 'task-simulation-2bde6e940a9422bf-exec-7'), ('04:55', 'task-simulation-2bde6e940a9422bf-exec-8'), ('04:58', 'task-simulation-2bde6e940a9422bf-exec-1'), ('04:59', 'task-simulation-2bde6e940a9422bf-exec-2'), ('04:59', 'task-simulation-2bde6e940a9422bf-exec-3'), ('04:59', 'task-simulation-2bde6e940a9422bf-exec-4'), ('04:59', 'task-simulation-2bde6e940a9422bf-exec-5'), ('04:59', 'task-simulation-2bde6e940a9422bf-exec-6'), ('05:00', 'task-simulation-2bde6e940a9422bf-exec-7'), ('05:00', 'task-simulation-2bde6e940a9422bf-exec-8'), ('05:02', 'task-simulation-2bde6e940a9422bf-exec-1'), ('05:02', 'task-simulation-2bde6e940a9422bf-exec-2'), ('05:02', 'task-simulation-2bde6e940a9422bf-exec-3'), ('05:02', 'task-simulation-2bde6e940a9422bf-exec-4'), ('05:03', 'task-simulation-2bde6e940a9422bf-exec-5'), ('05:03', 'task-simulation-2bde6e940a9422bf-exec-6'), ('05:03', 'task-simulation-2bde6e940a9422bf-exec-7'), ('05:03', 'task-simulation-2bde6e940a9422bf-exec-8'), ('05:05', 'task-simulation-2bde6e940a9422bf-exec-1'), ('05:05', 'task-simulation-2bde6e940a9422bf-exec-2'), ('05:05', 'task-simulation-2bde6e940a9422bf-exec-3'), ('05:05', 'task-simulation-2bde6e940a9422bf-exec-4'), ('05:05', 'task-simulation-2bde6e940a9422bf-exec-5'), ('05:06', 'task-simulation-2bde6e940a9422bf-exec-6'), ('05:06', 'task-simulation-2bde6e940a9422bf-exec-7'), ('05:06', 'task-simulation-2bde6e940a9422bf-exec-8'), ('05:08', 'task-simulation-2bde6e940a9422bf-exec-1'), ('05:08', 'task-simulation-2bde6e940a9422bf-exec-2'), ('05:08', 'task-simulation-2bde6e940a9422bf-exec-3'), ('05:08', 'task-simulation-2bde6e940a9422bf-exec-4'), ('05:08', 'task-simulation-2bde6e940a9422bf-exec-5'), ('05:09', 'task-simulation-2bde6e940a9422bf-exec-6'), ('05:09', 'task-simulation-2bde6e940a9422bf-exec-7'), ('05:09', 'task-simulation-2bde6e940a9422bf-exec-8'), ('05:10', 'task-simulation-2bde6e940a9422bf-exec-1'), ('05:11', 'task-simulation-2bde6e940a9422bf-exec-2'), ('05:11', 'task-simulation-2bde6e940a9422bf-exec-3'), ('05:11', 'task-simulation-2bde6e940a9422bf-exec-4'), ('05:11', 'task-simulation-2bde6e940a9422bf-exec-5'), ('05:12', 'task-simulation-2bde6e940a9422bf-exec-6'), ('05:12', 'task-simulation-2bde6e940a9422bf-exec-7'), ('05:12', 'task-simulation-2bde6e940a9422bf-exec-8'), ('05:13', 'task-simulation-2bde6e940a9422bf-exec-1'), ('05:14', 'task-simulation-2bde6e940a9422bf-exec-2'), ('05:14', 'task-simulation-2bde6e940a9422bf-exec-3'), ('05:14', 'task-simulation-2bde6e940a9422bf-exec-4'), ('05:14', 'task-simulation-2bde6e940a9422bf-exec-5'), ('05:15', 'task-simulation-2bde6e940a9422bf-exec-6'), ('05:15', 'task-simulation-2bde6e940a9422bf-exec-7'), ('05:15', 'task-simulation-2bde6e940a9422bf-exec-8'), ('05:16', 'task-simulation-2bde6e940a9422bf-exec-1'), ('05:17', 'task-simulation-2bde6e940a9422bf-exec-2'), ('05:17', 'task-simulation-2bde6e940a9422bf-exec-3'), ('05:17', 'task-simulation-2bde6e940a9422bf-exec-4'), ('05:17', 'task-simulation-2bde6e940a9422bf-exec-5'), ('05:17', 'task-simulation-2bde6e940a9422bf-exec-6'), ('05:18', 'task-simulation-2bde6e940a9422bf-exec-7'), ('05:18', 'task-simulation-2bde6e940a9422bf-exec-8'), ('05:19', 'task-simulation-2bde6e940a9422bf-exec-1'), ('05:19', 'task-simulation-2bde6e940a9422bf-exec-2'), ('05:20', 'task-simulation-2bde6e940a9422bf-exec-3'), ('05:20', 'task-simulation-2bde6e940a9422bf-exec-4'), ('05:20', 'task-simulation-2bde6e940a9422bf-exec-5'), ('05:20', 'task-simulation-2bde6e940a9422bf-exec-6'), ('05:20', 'task-simulation-2bde6e940a9422bf-exec-7'), ('05:21', 'task-simulation-2bde6e940a9422bf-exec-8'), ('05:22', 'task-simulation-2bde6e940a9422bf-exec-1'), ('05:22', 'task-simulation-2bde6e940a9422bf-exec-2'), ('05:23', 'task-simulation-2bde6e940a9422bf-exec-3'), ('05:23', 'task-simulation-2bde6e940a9422bf-exec-4'), ('05:23', 'task-simulation-2bde6e940a9422bf-exec-5'), ('05:23', 'task-simulation-2bde6e940a9422bf-exec-6'), ('05:23', 'task-simulation-2bde6e940a9422bf-exec-7'), ('05:24', 'task-simulation-2bde6e940a9422bf-exec-8'), ('05:25', 'task-simulation-2bde6e940a9422bf-exec-1'), ('05:25', 'task-simulation-2bde6e940a9422bf-exec-2'), ('05:25', 'task-simulation-2bde6e940a9422bf-exec-3'), ('05:26', 'task-simulation-2bde6e940a9422bf-exec-4'), ('05:26', 'task-simulation-2bde6e940a9422bf-exec-5'), ('05:26', 'task-simulation-2bde6e940a9422bf-exec-6'), ('05:26', 'task-simulation-2bde6e940a9422bf-exec-7'), ('05:27', 'task-simulation-2bde6e940a9422bf-exec-8'), ('05:28', 'task-simulation-2bde6e940a9422bf-exec-1'), ('05:28', 'task-simulation-2bde6e940a9422bf-exec-2'), ('05:28', 'task-simulation-2bde6e940a9422bf-exec-3'), ('05:29', 'task-simulation-2bde6e940a9422bf-exec-4'), ('05:29', 'task-simulation-2bde6e940a9422bf-exec-5'), ('05:29', 'task-simulation-2bde6e940a9422bf-exec-6'), ('05:29', 'task-simulation-2bde6e940a9422bf-exec-7'), ('05:30', 'task-simulation-2bde6e940a9422bf-exec-8'), ('05:31', 'task-simulation-2bde6e940a9422bf-exec-1'), ('05:31', 'task-simulation-2bde6e940a9422bf-exec-2'), ('05:31', 'task-simulation-2bde6e940a9422bf-exec-3'), ('05:32', 'task-simulation-2bde6e940a9422bf-exec-4'), ('05:32', 'task-simulation-2bde6e940a9422bf-exec-5'), ('05:32', 'task-simulation-2bde6e940a9422bf-exec-6'), ('05:32', 'task-simulation-2bde6e940a9422bf-exec-7'), ('05:32', 'task-simulation-2bde6e940a9422bf-exec-8'), ('05:34', 'task-simulation-2bde6e940a9422bf-exec-1'), ('05:34', 'task-simulation-2bde6e940a9422bf-exec-2'), ('05:34', 'task-simulation-2bde6e940a9422bf-exec-3'), ('05:35', 'task-simulation-2bde6e940a9422bf-exec-4'), ('05:35', 'task-simulation-2bde6e940a9422bf-exec-5'), ('05:35', 'task-simulation-2bde6e940a9422bf-exec-6'), ('05:35', 'task-simulation-2bde6e940a9422bf-exec-7'), ('05:35', 'task-simulation-2bde6e940a9422bf-exec-8'), ('05:37', 'task-simulation-2bde6e940a9422bf-exec-1'), ('05:37', 'task-simulation-2bde6e940a9422bf-exec-2'), ('05:37', 'task-simulation-2bde6e940a9422bf-exec-3'), ('05:38', 'task-simulation-2bde6e940a9422bf-exec-4'), ('05:38', 'task-simulation-2bde6e940a9422bf-exec-5'), ('05:38', 'task-simulation-2bde6e940a9422bf-exec-6'), ('05:38', 'task-simulation-2bde6e940a9422bf-exec-7'), ('05:38', 'task-simulation-2bde6e940a9422bf-exec-8'), ('05:40', 'task-simulation-2bde6e940a9422bf-exec-1'), ('05:40', 'task-simulation-2bde6e940a9422bf-exec-2'), ('05:40', 'task-simulation-2bde6e940a9422bf-exec-3'), ('05:40', 'task-simulation-2bde6e940a9422bf-exec-4'), ('05:41', 'task-simulation-2bde6e940a9422bf-exec-5'), ('05:41', 'task-simulation-2bde6e940a9422bf-exec-6'), ('05:41', 'task-simulation-2bde6e940a9422bf-exec-7'), ('05:41', 'task-simulation-2bde6e940a9422bf-exec-8'), ('05:43', 'task-simulation-2bde6e940a9422bf-exec-1'), ('05:43', 'task-simulation-2bde6e940a9422bf-exec-2'), ('05:43', 'task-simulation-2bde6e940a9422bf-exec-3'), ('05:43', 'task-simulation-2bde6e940a9422bf-exec-4'), ('05:43', 'task-simulation-2bde6e940a9422bf-exec-5'), ('05:44', 'task-simulation-2bde6e940a9422bf-exec-6'), ('05:44', 'task-simulation-2bde6e940a9422bf-exec-7'), ('05:44', 'task-simulation-2bde6e940a9422bf-exec-8'), ('05:45', 'task-simulation-2bde6e940a9422bf-exec-1'), ('05:46', 'task-simulation-2bde6e940a9422bf-exec-3'), ('05:46', 'task-simulation-2bde6e940a9422bf-exec-4'), ('05:46', 'task-simulation-2bde6e940a9422bf-exec-5'), ('05:46', 'task-simulation-2bde6e940a9422bf-exec-6'), ('05:47', 'task-simulation-2bde6e940a9422bf-exec-7'), ('05:47', 'task-simulation-2bde6e940a9422bf-exec-8'), ('05:48', 'task-simulation-2bde6e940a9422bf-exec-1'), ('05:49', 'task-simulation-2bde6e940a9422bf-exec-4'), ('05:49', 'task-simulation-2bde6e940a9422bf-exec-5'), ('05:49', 'task-simulation-2bde6e940a9422bf-exec-6'), ('05:50', 'task-simulation-2bde6e940a9422bf-exec-7')]",0 days 00:01:45.219539
7,10,2024-12-28 00:05:45.493889,36.971,"[('06:04', 'task-simulation-5318b0940a958275-exec-1'), ('06:06', 'task-simulation-5318b0940a958275-exec-1'), ('06:06', 'task-simulation-5318b0940a958275-exec-2'), ('06:06', 'task-simulation-5318b0940a958275-exec-3'), ('06:08', 'task-simulation-5318b0940a958275-exec-1'), ('06:08', 'task-simulation-5318b0940a958275-exec-2'), ('06:08', 'task-simulation-5318b0940a958275-exec-3'), ('06:08', 'task-simulation-5318b0940a958275-exec-4'), ('06:10', 'task-simulation-5318b0940a958275-exec-1'), ('06:10', 'task-simulation-5318b0940a958275-exec-2'), ('06:11', 'task-simulation-5318b0940a958275-exec-3'), ('06:11', 'task-simulation-5318b0940a958275-exec-4'), ('06:12', 'task-simulation-5318b0940a958275-exec-1'), ('06:13', 'task-simulation-5318b0940a958275-exec-2'), ('06:13', 'task-simulation-5318b0940a958275-exec-3'), ('06:13', 'task-simulation-5318b0940a958275-exec-4'), ('06:15', 'task-simulation-5318b0940a958275-exec-1'), ('06:15', 'task-simulation-5318b0940a958275-exec-2'), ('06:16', 'task-simulation-5318b0940a958275-exec-4')]",0 days 00:00:29.353629
8,11,2024-12-28 00:05:51.420369,24.647333333333332,"[('06:10', 'task-simulation-4bf786940a959950-exec-1'), ('06:12', 'task-simulation-4bf786940a959950-exec-1'), ('06:15', 'task-simulation-4bf786940a959950-exec-1'), ('06:18', 'task-simulation-4bf786940a959950-exec-1'), ('06:21', 'task-simulation-4bf786940a959950-exec-1'), ('06:23', 'task-simulation-4bf786940a959950-exec-1'), ('06:25', 'task-simulation-4bf786940a959950-exec-1')]",0 days 00:00:29.165638
9,12,2024-12-28 00:05:56.230887,159.718,"[('06:14', 'task-simulation-242cd7940a95a959-exec-1'), ('06:17', 'task-simulation-242cd7940a95a959-exec-1'), ('06:17', 'task-simulation-242cd7940a95a959-exec-2'), ('06:18', 'task-simulation-242cd7940a95a959-exec-3'), ('06:18', 'task-simulation-242cd7940a95a959-exec-4'), ('06:20', 'task-simulation-242cd7940a95a959-exec-1'), ('06:20', 'task-simulation-242cd7940a95a959-exec-2'), ('06:20', 'task-simulation-242cd7940a95a959-exec-3'), ('06:20', 'task-simulation-242cd7940a95a959-exec-4'), ('06:22', 'task-simulation-242cd7940a95a959-exec-1'), ('06:22', 'task-simulation-242cd7940a95a959-exec-2'), ('06:22', 'task-simulation-242cd7940a95a959-exec-3'), ('06:23', 'task-simulation-242cd7940a95a959-exec-4'), ('06:24', 'task-simulation-242cd7940a95a959-exec-1'), ('06:24', 'task-simulation-242cd7940a95a959-exec-2'), ('06:25', 'task-simulation-242cd7940a95a959-exec-3'), ('06:25', 'task-simulation-242cd7940a95a959-exec-4'), ('06:26', 'task-simulation-242cd7940a95a959-exec-1'), ('06:27', 'task-simulation-242cd7940a95a959-exec-2'), ('06:27', 'task-simulation-242cd7940a95a959-exec-3'), ('06:27', 'task-simulation-242cd7940a95a959-exec-4'), ('06:28', 'task-simulation-242cd7940a95a959-exec-1'), ('06:29', 'task-simulation-242cd7940a95a959-exec-2'), ('06:29', 'task-simulation-242cd7940a95a959-exec-3'), ('06:29', 'task-simulation-242cd7940a95a959-exec-4')]",0 days 00:00:34.770611
